id,source,text,tip,sentiment,sarcasm
170,youtube,Čudo da i ovdje Sloboda Mićalović nije uzela glavnu ulogu.,filmovi,-1,1
661,youtube,Nicki minaj Anaconda kopija,muzika,-1,1
1521,youtube,Dobra pesma ali matrica je mnogo glasna,zabava,0,0
256,youtube,Nije ovo Kiosk bre. Övo je firmmaaaa,filmovi,0,1
1914,tiktok,tema videa: BRATE hahahah,zabava,0,1
808,youtube,Čestitke i Zvezdi i Partizanu. Partizan se lavski borio ali jednostavno nije mogao protiv nadmoćnijeg protivnika.,sport,0,0
1951,tiktok,Za napad na naseg predsednika nadlezno je drustvo za zastitu zivotinja,politika,-1,1
614,youtube,Prvi video koji sam pogledao od dnevnjaka,zabava,0,0
867,youtube,Al tekst ispod sto ide,zabava,0,1
1251,youtube,je radis sahrane,muzika,0,1
1585,youtube,E i ja slušam rock,zabava,0,0
1589,youtube,"Znao sam da nije bas inteligentan , al da je slep zo nisam znao, nek nauci da prati oci dok prica sa nekim. Hahahahha",zabava,-1,1
1376,youtube,"Prvo dislajkujem, pa onda izadjem",muzika,-1,1
1588,youtube,Mng je glup decko,zabava,-1,0
1861,twitter,Bravo bas ste pogodili sta ljudima treba,politika,-1,1
824,youtube,BRAVO SVAKA CAST UZIMATE PO KO ZNA KOJI PUT NAMESTENU TITULU.,sport,-1,1
1245,youtube,"ko ovo slusa, nema mu pomoc realno",muzika,-1,1
17,youtube,"Genijalna glumačka ekipa, preinteligentan humor, replike da se ukenjaš od smijeha, sve što današnjim filmovima fali. ""Vodi je u mrak da ti sija!""",filmovi,1,0
1089,youtube,koje cigare pusi u spotu?,muzika,0,0
1382,youtube,Volela bih da sam slepa,muzika,-1,1
382,youtube,Imam 12 godina a ovo mi je omiljeni film moj čitav razred ga je odgledao nisu sve nove generacije toliko neobrazovane.,filmovi,1,0
1918,tiktok,ovo je u mom kraju,zabava,0,0
219,youtube,Dopada mi se najava za nadolazecu sezonu.Verujem da cu uzivati dok budem gledala seriju.,filmovi,1,0
354,youtube,"Bravo,serija,glumci sve...a toliko godina prodje",filmovi,1,1
26,youtube,COM CREVERO ERO MACROPUS...na latimskom ime filma,filmovi,0,1
681,youtube,Pjesma je odlična i spot gori ko se slaže like,muzika,1,0
1106,youtube,Само се бламирате,muzika,-1,0
1772,twitter,"Ne ide nikud, tu je gde je.",politika,0,0
394,youtube,"Znaj cijeli svijete da diplomirao sam gimnaziju danas, i da su mi oči pune suza od ovog filma",filmovi,0,0
138,youtube,Moram reći da ta žena liči na Anne Hathaway. Stvarno.,filmovi,0,0
325,youtube,"Bravo kao da je juče bilo, prođe 15 godina..",filmovi,1,0
1201,youtube,ovo samo umobolni mogu da slusaju,muzika,-1,1
161,youtube,Mlada ko da je preparirana u seriji.,filmovi,-1,1
526,youtube,malo traje epizoda za ovo remek delo,zabava,1,1
809,youtube,Pitam se za koga navija komentator,sport,0,1
1989,instagram,"Sta moze glupi sendvicar,covek koji proda sebe I svoje bliznje za 2000din",politika,-1,1
1474,youtube,Prije točno 12 godina,muzika,0,0
697,youtube,Ta cura ne zna da peva,muzika,-1,0
431,youtube,"Kako je lijepo vidjeti kad se snimi lijep film bez golotinje, gluparija i ostalih sranja , nije bitno tko je tko glavno da si čovjek , sve pohvale za film top je",filmovi,1,0
159,youtube,"Čestitke iz Hrvatske akademskom gnijezdu Košutnjak filma!!! Ni Hollywood nema, ni Zagreb, takve nepatvorene karakterne glumce!!! Obožavam ovu glumicu. Prelijepa je i nevjerojatno sliči mojoj kćerkici Mimi.",filmovi,1,0
163,youtube,Šteta pogrešno postavila brak nisu je roditelji naterali već Momcilo a serija je božanstvena,filmovi,1,0
638,youtube,"Davno beše kad sam čitala. Čini mi se da ima zanimljiv roman "" U slovenačkim gorama"". Ne znam zašto to nije snimljeno.",zabava,1,0
1928,tiktok,imas prelepe oci,zabava,1,0
397,youtube,Ovo film za ljude sa manjim iq ?,filmovi,-1,1
1882,twitter,I još ste saučesnici vašem neprijatelju ?,politika,-1,1
936,youtube,Katastrofa kakva jadnica,muzika,-1,0
1994,instagram,"Dok narod jedva sastavlja kraj s krajem, vlast priča o EXPO-u.",politika,-1,1
1903,tiktok,Zato bolje idi u kafanu na neki vinjak i nek sve ode niz vodu,zabava,0,1
1420,youtube,za mene zauvek najlepsi par,zabava,1,0
367,youtube,Ovo je remek delo ni sam ne znam koliko puta sam ga gledao i svaki put kao da je prvi,filmovi,1,0
1739,youtube,nisam ekspert al mislim da ovaj celavi decko nema glas za pjevanje,muzika,-1,0
472,youtube,Sad kad se kidare dignu po gradu,filmovi,-1,1
1022,youtube,Novi hit ima da se slusa na jesen i zimu,muzika,1,0
134,youtube,Melodija u pozadini 47:50 molim vaaas,filmovi,0,0
109,youtube,Jutarnja molitva,filmovi,0,0
1042,youtube,"Bivsa supruga mi zivi na sjenjaku, dal je to slucajnost.",muzika,0,1
169,youtube,bikovic je lep covek u svakom smislu,filmovi,1,0
1575,youtube,Nije lose al bolja je hrvatska verzija,filmovi,0,0
1056,youtube,Toooooop je pesma baš ju je lijepo otpevala,muzika,1,0
1687,youtube,vau pesma je dobra,muzika,1,0
817,youtube,Zamoljavam vlast ako moze da se gurne jos koja parica u HSD Partizan jer ovo je vise i glupo gledati!,sport,-1,1
1490,youtube,Meni je ova pesma dosta prazna,muzika,-1,0
1523,youtube,Tesko zenama u crnoj gori..,zabava,-1,1
654,youtube,"Svarno je poseban,neverovatan",muzika,1,0
1126,youtube,mogla je vise malo sise izbaciti realno da vidimo taj potencijal njenog pevanja,muzika,-1,1
754,youtube,Jesi li mogao vise reklama da ubacis???,sport,-1,1
591,youtube,bolji od nekih poznatih glumaca...,zabava,1,0
1072,youtube,Rođena za svjetsku scenu.,muzika,1,0
445,youtube,Onaj kaze vas 4 bicete zapisani a gde u istoriji a najace oni su stvaraoci istorije,filmovi,0,1
1570,youtube,ostani đubre do kraja.,zabava,0,1
184,youtube,"Serija koja se moze gledati uvek, malo mi je dosadna ova kucna pomocnica lose glumi",filmovi,0,0
1974,tiktok,Treba zakonom zaštititi ovo.,zabava,1,1
372,youtube,Moj najdraži filmm!,filmovi,0,0
1866,twitter,"Znači nema promene za narod, samo za studente. Super.  Snašli ste se, baš vas briga.",politika,-1,1
193,youtube,"Prelepa serija ,koliko puta da je gledam uvjek bi je opet gledala.",filmovi,1,0
123,youtube,Svaku rečenicu znam napamet. Najlepši naš film. Hvala vam Šotra na ovakvom predivnom filmu. Počivajte u miru.,filmovi,1,0
1232,youtube,Tesko je slušati (Krvare mi uši),muzika,-1,0
178,youtube,"Možete li, molim vas, dodati srpske titlove (automatski generisane). Ovo bi bila velika pomoć ljudima koji uče srpski. Hvala puno unapred",filmovi,0,0
95,youtube,1:26:00 jel neko izvaljuje sve reference iz filma munje ;),filmovi,0,0
29,youtube,"Ceo film je sjajan, ali scena paljenja vojnog generatora je legendarna... Nula teksta, cista gluma, bravo!",filmovi,1,0
542,youtube,да бог да била најгледанија епизода,zabava,1,0
1670,youtube,Ko je umro spasio se,muzika,-1,1
1079,youtube,"Koje autotune mumljanje, nema veze s pjevanjem",muzika,-1,0
1359,youtube,Svaku desetu rijec razumijem,muzika,0,1
1386,youtube,Drogaaaa batooo,muzika,0,0
135,youtube,"Tako je to nazalost,Kada ljubav nije obostrana.Nikome takva ljubav nije potrebana,bolje je ostati Sam nego u losem braku....",filmovi,-1,0
1849,twitter,Bas odgovorna politika vidi se po svakom racunu,politika,-1,1
1592,youtube,gledam video 40 min. svako malo pauziram i prosetam po stanu kako bi mi blam izasao iz organizma...,zabava,-1,1
783,youtube,"Кад на грбу петокрака блиста, џаба Звезди и Партизану и титула триста.",sport,-1,1
344,youtube,Mamine replike - vrh dramske umjetnosti!,filmovi,-1,1
165,youtube,Ima mnogo samaca u braku,filmovi,0,1
207,youtube,"Amerikanci mogu samo željeti imati ovakvu kvalitetu filma i radnju, definitivno jedni od rijetkih koji su nastavili sa vrhunskom kinematografijom na prostorima bivše države. Nakon pregledanih svih dijelova i filma svaki put sam se pitao može li bolje, a uvijek novi dio ispadne iznad svih očekivanja i bolje od prethodnog!!! Ako se po jutru dan poznaje po traileru vidimo da će ovo biti top! Znači gori",filmovi,1,0
963,youtube,Najeo se s' brazilski orasi,muzika,-1,1
763,youtube,Inteligentni igrači Zvezde u završnici dokazaše klasu...,sport,1,0
509,youtube,Tragedija od filma,filmovi,-1,0
153,youtube,Serija je bas lipa prije je sve bilo ljepše uvjek je gledam ponovo,filmovi,1,0
255,youtube,"Brutalna glumačka ekipa, dopada mi se što je uključeno i puno stranaca",filmovi,1,0
1223,youtube,al sto lik mora da aura farmuje da bi dokazao da nije zapravo mid ahahahaha,muzika,-1,1
934,youtube,"Cek jel nekome zbilja ova pjesma tako dobra ili sta? Meni je ovo preiritantno za slusati, ne razumijem pola",muzika,-1,1
1148,youtube,Boze oprosti im neznaju sta rade,muzika,-1,0
1016,youtube,Nit stida nit srama!,muzika,-1,0
491,youtube,film je odlican cista 10,filmovi,1,0
265,youtube,"U Americi sam Kako ovu seriju da gledam na internetu,mislim legalno? Sta da ukucam,Netflix?",filmovi,-1,1
1633,youtube,Druže imaš 30 god blamiraš se,zabava,-1,1
1649,youtube,joj uljepšali ste mi ovu nedelju,zabava,1,0
412,youtube,samo što je rešenje trigonometrijske jednačine je - p/2 ne p/2,filmovi,0,1
570,youtube,"Sve je crna tama pojela, nema, mrak svuda, sve je crno, život je tanjir govana!",zabava,-1,0
270,youtube,"27:24 , Marina je tu u crvenoj jakni izgledala najbolje..",filmovi,1,0
982,youtube,Pozdrav,muzika,1,0
476,youtube,totalno razočaranje u odnosu na prethodni dio,filmovi,-1,0
1684,youtube,"Gasi internet, motaj kablove, ranicu se",muzika,-1,1
453,youtube,"Prepun glupih i dosadnih scena, ocjena 6/10....",filmovi,-1,0
1929,tiktok,carevi,zabava,1,0
1863,twitter,Ma nema problema narod samo izmislja,politika,-1,1
279,youtube,Film je glup,filmovi,-1,0
1782,twitter,"Pa stvarno Milune,Ana zašto maltretirate čoveka",politika,1,1
311,youtube,"Super serija sem ove smaračice Nikoline, očajna je",filmovi,1,0
1311,youtube,Providno je da je sve namesteno. Smeje se a place mu se...nije lako glumiti zadovoljstvo.,zabava,-1,1
1277,youtube,Ispiranje mozga,muzika,-1,0
668,youtube,"Тралала, бла, бла",muzika,-1,1
589,youtube,Ovo je namesteno...neko je ovde potplacen,zabava,-1,0
608,youtube,Debilčino svaka čast,zabava,-1,1
315,youtube,Kada počinje serija?,filmovi,0,0
1015,youtube,Mašina nije stroj,muzika,0,0
771,youtube,"Jutrić, kafica...",sport,0,1
1033,youtube,Svaki put kad idemo na izlet sa drugim slusamo ovo,muzika,1,0
1271,youtube,kakva jadna pesma da nema dalje,muzika,-1,1
1801,twitter,Pobedili ste. Kao i u svemu i protiv svih. Vi ste najveći svetski pobednici koji NIKADA NIKOG NISU POBEDILI.,sport,-1,1
1567,youtube,hahahaa njihov razgovor sa ovakvom muzikom u pozadini hahaah,zabava,0,1
1932,tiktok,nisam zadovoljna jer je previse tacno,zabava,0,1
1289,youtube,sa ovim filmom samo gubis vreme,filmovi,-1,0
1730,youtube,Bravo. Uzivam slusajucu ovaj spoj ovakvih vokala,muzika,1,0
1320,youtube,Cereka se na silu,zabava,-1,0
295,youtube,"Kako god, uvijek nevini nastradaju. Ko rat želio u kući mu bio 24/7",filmovi,-1,1
346,youtube,Vesna Trivalic je ovde imala 28 godina,filmovi,0,0
1058,youtube,"Ustaj sabane,ponesi i sinana da vidi kakve muzike se slusaju danas na balkanu",muzika,-1,1
675,youtube,Pevacica u pokusaju,muzika,-1,1
333,youtube,Katarinin nacin odevanja u to vreme je bio sok.Ipak su to bile devedesete.,filmovi,0,0
45,youtube,37:57 GREŠKA U FILMU. Ako je Braca kupio 7 karata onda klošar treba da sedne 5 mesta dalje.,filmovi,-1,0
418,youtube,"A sad usporedite Srbiju od 1990.na ovamo, zadnje godine pogotovo - od potomaka ovih dragulja nema nikoga, kao ni potomaka solunskih boraca.",filmovi,1,1
536,youtube,Volim sto se Mihajlo obukao ko za čas fizičkog.,zabava,1,1
1343,youtube,Tek je sad viralna na tik tok,muzika,0,0
1055,youtube,Pesma je okej ali nikad nisam shvatio poentu pesme,muzika,0,0
1662,youtube,Da se i musliman prekrsti.,muzika,-1,1
1950,tiktok,Ja ga nikad nisam koristila niti se razumem u to kako funkcionise,zabava,0,0
1062,youtube,Želim biti gluv,muzika,-1,1
1528,youtube,... ne mogu da vjerujem što sam slušala ...,zabava,-1,1
887,youtube,Tripuje da je Severina,muzika,0,1
624,youtube,Kad si u bedu uzmi kredu nacrtaj medu i pogledaj ovaj video da popravi ti dan,zabava,1,1
724,youtube,"Svaka cast na pesmi, hvala Bogu pa sam gluv",muzika,-1,1
1829,twitter,Nova vest - Saša Popović otvara Fakultet za estradu? Jedva cekam kolokvijum iz hitova Bore Drljace,fakultet,1,1
1175,youtube,Kakvu si robu ubacio u pesmu?,muzika,0,0
1574,youtube,Najbolja verzija I najbolja uvodna špica od svih!!,filmovi,1,0
281,youtube,Dok je Beograd bio grad i dok su šmekeri još uvek postojali,filmovi,0,1
1053,youtube,Bogu hvala da sam emigrirao jos 2014 sa balkana,muzika,-1,1
187,youtube,Prekrasna priča! Danas s djecom sam ju odgledala u jednom dahu! Cijelo vrijeme i gledali i oduševljavali se umjetnicima koji su radili na ovom filmskom remek-djelu! Uloga Julije ih je posebno taknula.,filmovi,1,0
1723,youtube,koliko autotune-a zelis? - Da!,muzika,-1,1
863,youtube,Ja svoju zenu nisam udario,zabava,0,0
1363,youtube,"Zbog ove pesme cu se razvezsti i ponovo ozeniti. Ko razume, shvata!",muzika,1,1
399,youtube,ja sam e u jednom trenutku rasplakala predobar film\serija,filmovi,1,0
1943,tiktok,"ova zena je zakon, koje osvezenje na tik toku",zabava,1,0
387,youtube,Nije lako zaljubiti se u ministarsku kcer,filmovi,0,1
1296,youtube,Moze li mi neko reci sta je na onoj slici sto je stavio u frizider?,filmovi,0,0
787,youtube,"napokon komentator, hvala arena za ovo",sport,1,0
1852,twitter,"Naravno da narod preteruje, sve je idealno",politika,-1,1
139,youtube,"Ljiljana je u knjizi bila plava,nisam je zamišljala ovako.",filmovi,-1,0
416,youtube,"5+,,dostojanstvo,postovanje,čast,znanje.....trebao bi biti u skolskim programima općeg obrazovanja u zemljama regije!!!",filmovi,1,0
28,youtube,"Ono prosečno klošarsko društvo iz kraja, najbolje fore i zajebancije, ono društvo od 16,17 do 30 godine",filmovi,1,0
996,youtube,Naša država sto je veca glupost vise je cenjeno..,muzika,-1,1
1655,youtube,Ja usla da procitam tekst evo svega mi nikad ne bih rekla da to peva,muzika,-1,1
479,youtube,Film top al fale Crnogorci u filmu bilo bi uzbudljivije jos,filmovi,1,1
1669,youtube,"Ugasite zvuk i gledajte je samo, puno je bolje",muzika,-1,1
564,youtube,Imam uz sta da doručkujem,zabava,1,1
1003,youtube,Планета мајмуна!,muzika,-1,1
1806,twitter,Pu maleru,sport,-1,0
13,youtube,Cijela Zenica je znala ove fraze,filmovi,0,0
643,youtube,Gdje spavas da te ne ukradu,muzika,1,1
1209,youtube,Narkomanska posla,muzika,-1,1
1689,youtube,nek ti je bog u pomoci,muzika,-1,1
584,youtube,"""Sve sam radim...ko osam ruku da imam...",zabava,-1,1
128,youtube,"Hej, Tek sad vidim, Brankica je odevena kao Meri Poppins, u cuvenoj staroj mjuzikl verziji te price! Cak I podseca na tu glumicu",filmovi,0,0
69,youtube,Najbolji Nebojsa Glogovac laka mu zemlja,filmovi,1,0
1595,youtube,Kako je lepa,zabava,1,0
1217,youtube,Klasičan primer muškaraca koji su odrastali bez majčinske ljubavi,muzika,-1,1
1295,youtube,Imas zlatno srce ali pogan jezik...,filmovi,0,0
1128,youtube,"Ne zna se sta je gore,da li pesma,striptizeta ili ovaj teletabis?Tezak izbor",muzika,-1,1
1583,youtube,mene sramota da gledam ovog dusevnog bolesnika,zabava,-1,1
877,youtube,Beba place zato sto bebe placu.,zabava,0,1
80,youtube,"Proslo je 22 godine od izlaska ovog remek dela. Hvala vam svima na emociji, i na suzama(od smeha). 20.06.2026 , I opet gledam ! )",filmovi,1,0
566,youtube,Vrati stari introo,zabava,0,0
1481,youtube,"Prelijepa si, mislim da bi se mogla ostvariti I kao glumica, nadam se da ćeš jednog dana upisati glumacku akademiju.",muzika,1,0
1095,youtube,covjek se sprda i opet je najbolji,muzika,1,1
575,youtube,"Ja klao, ja sek'o, ja pek'o.",zabava,1,1
360,youtube,"Film mog detinjstva, a takođe sam zato upisala gimnaziju, a bila sam zaista razočarana što moj razred nije takav al' ajde",filmovi,1,0
992,youtube,"Možemo mi pričati šta hoćemo o tekstu, lažnih moralista kod Srba je uvijek bilo i biće...ali ovo vozi opasno.",muzika,1,1
747,youtube,"Covek koji nije skolovani novinar,a ovako odradi podcast prosto nemam reci. Kakva gospoda oba dvoje",sport,1,0
21,youtube,Gospodjo je li vam neko rekao da ste rodili idiota,filmovi,0,1
297,youtube,Top film!porodični i porodične stvari.,filmovi,1,0
1134,youtube,ne zna se ko je vise uradjen,muzika,0,1
1718,youtube,Jel ima 1 hour verzija,muzika,1,1
1744,youtube,Какав суноврат. Ово је баш гадно……..,muzika,-1,0
551,youtube,Ovo nisam očekivao,zabava,0,0
496,youtube,Gledo sam film je fantazija,filmovi,0,0
30,youtube,"Uvek rado pogledam ovaj film, podseća me na zadnju epohu iole normalnog i srećnog vremena. Svakako jedan od poslednjih dobrih domaćih filmova.",filmovi,1,0
1995,instagram,Sama facijalna gestikulacija govori da je ovaj čovek lažovčina!,politika,-1,0
1569,youtube,"Ово је најлепша ствар коју сам видео, пустих сузу тешку.",zabava,1,1
528,youtube,ko vam vodi kameru oca mu. dobicu epilepticni napad,zabava,-1,1
1482,youtube,Svi koji su te ostavili zalice,muzika,1,1
1381,youtube,Na sta ste vi trosili vreme u studiju...,muzika,-1,1
1492,youtube,Mala je rasturila!,muzika,1,0
1916,tiktok,pogodite koja mu je najdraza rijec,zabava,0,1
463,youtube,"trejler pola filma spojlovao, druga stvar radnja je nikakva kao 1 epizoda serije, ocekivan kraj i uvod i seriju. film 5 od 10",filmovi,-1,0
933,youtube,Brutalna pjesma i spot,muzika,1,0
925,youtube,Jel sam samo ja ili njih dve zvuce isto,muzika,0,0
358,youtube,Djumruk mu dodje ugljen. Eto znam strani jezik malo.,filmovi,0,1
1749,youtube,Ova pesma je jedna od retkih koja mi se svidela ne prvo slusanje,muzika,1,0
1405,youtube,Bravo vas dvoje! Zelim vam jos puno hitova i da se volite jos vise,muzika,1,0
840,youtube,Zavrsio sam sa faxom pre 8 godina a i dalje imam aksioznost kada pogledam ovaj video :D,fakultet,0,1
320,youtube,"Ovu seriju je ubila dužina uvodne špice i ništa više. To je ogroman problem i čudi me da niko nije to prokomentarisao. 3 minuta traje uvodna špica za sitkom?! Neviđen propust, a čini mi se da se to redovno dešava tom reditelju.",filmovi,-1,0
574,youtube,"mi smo pekli bika,a u biku jare,a u jaretu prase,a u prasetu pile",zabava,1,1
1854,twitter,Bravo lideri bas ulivate poverenje,politika,-1,1
1147,youtube,"Dakle u ovoj zemlji više ne postiji niti jedna institucija koja će da zaustavi ovaj pakao ! Tekst direktno promoviše teške droge, i deca ga oduševljeno pevaju...",muzika,-1,1
735,youtube,Ovaj intervju treba pustati deci u osnovnoj skoli i u Srbiji i u Hrvatskoj.,sport,1,1
740,youtube,Rijedak slucaj pametnog covjeka. Sve pohvale,sport,1,1
716,youtube,Niko se ovome nije nadao.,muzika,0,1
343,youtube,24:00 Vi ste geniji!,filmovi,0,0
300,youtube,Serija iz doba smisla,filmovi,1,0
1691,youtube,ovu pesmu slusam svaki dan,muzika,1,0
440,youtube,Na kraju zamalo da sam zaplako,filmovi,1,0
1146,youtube,Dobra pesma za auto... Hvala bogu pa nemam auto,muzika,-1,1
478,youtube,Kad izlazi film na RTS,filmovi,0,0
210,youtube,Na koji je to kanal na televiziji,filmovi,0,0
1383,youtube,Auuu Relja dobre su ti pesme al ovo nisam ocekivala,muzika,0,0
1336,youtube,Silujem replay dugme,muzika,1,1
1256,youtube,On ima žensko dete a ovakve pesme snima ma bravo,muzika,-1,1
304,youtube,"Čoveče,koji flashback",filmovi,1,0
1887,twitter,Зато што немају хлеба да једу.,politika,-1,0
836,youtube,"Jako stresno...tesko mi je bilo da odgledam ovaj video, oblila me 3 ladna znoja za 8 minuta",zabava,0,1
1512,youtube,a sto brate sta ti je?,zabava,0,1
732,youtube,Velikan svetskog sporta a ne ovih prostora..Idemo Nolee..,sport,1,0
426,youtube,Pametni mladici su kaznili pedanteriju,filmovi,-1,1
467,youtube,"Jedna od rijetkih serija/filmova koju su pokvarile glavne uloge, mada i pored katastrofalne glume i ovog drugog opet je dobra. Kad bi se nekako mogli isijeći svi dijelovi u kojima se oni pojavljuju bilo bi top, jer su sve ""sporedne"" uloge vrhunski odradile posao sa antologijskim scenama, a ova dvojica su odglumila opasne kriminalce isto dva Micky mausa ...",filmovi,-1,1
1807,twitter,"Hešteguješ samog sebe!? Imate li vi u toj vašoj sekti nekog ko NIJE narcisoidan? Ahahahahahahahaha, koliko si ti bolestan čovek!",sport,-1,1
1188,youtube,Napokon izašla pesma,muzika,1,0
779,youtube,"Коментаторе забoлeло, као да су им узели 50% од плате",sport,-1,1
227,youtube,Au najezi se svaka cast,filmovi,1,0
1856,twitter,Bas se vidi koliko slusate gradjane,politika,-1,1
1137,youtube,koje su im ovo cigare bele,muzika,0,0
1318,youtube,Au ovaj stvarno misli da ce doci na vlast jednog dana,zabava,-1,1
1131,youtube,pa dobro nije strasno,muzika,0,0
1773,twitter,Opet neko lazno istrazivanje.,politika,-1,0
1741,youtube,Kida pjesma bravo momci,muzika,1,0
998,youtube,AKO JE OVO MUZIKA JA SAM ONDA BETOVEN,muzika,-1,1
1319,youtube,Je l se obojica drogirate?,zabava,-1,1
864,youtube,Beba place kad se rodi,zabava,0,0
269,youtube,57:48 koja je ovo pesma u pozadini,filmovi,0,0
103,youtube,Predobar film za preporucit drugima da gledaju,filmovi,1,0
1162,youtube,Sreca pa sam gluv,muzika,-1,1
997,youtube,Treba resetovati sve.,muzika,-1,0
952,youtube,Ne slusam ovu vrstu muzike ali ok nije lose zabavno,muzika,0,0
305,youtube,Nemojte razvlaciti sadrzaj snimljen u 4:3 formatu izgleda uzasno,filmovi,-1,0
282,youtube,Kako su se beogradjanke nekad izdvajale po svemu aoo...jedva smo cekali da dodje ljeto da dodju na more po svemu jedinstvene su bile izgled oblacenje ponasanje stav hod šarm prica sve...i to se izgubilo skroz nazalost,filmovi,-1,0
125,youtube,Ova serija me vraca u detinjstvo,filmovi,1,0
1797,twitter,Do pobede!!,sport,1,0
1180,youtube,A lajkujem i cao bebo,muzika,1,1
308,youtube,Jedna od jacih serija,filmovi,1,0
452,youtube,Znaci odma ste upropastili sve al ajde,filmovi,-1,0
379,youtube,"Prekrasna serija , divni glumci ,sa toliko kulture , obozavam ovu seriju ......",filmovi,1,0
1681,youtube,Upalio pjesmu nestalo struje u cijeloj zgradi,muzika,0,1
1678,youtube,Nikad nisam čula bolju pesmu,muzika,1,0
1505,youtube,Deceniju kasnije idalje ne znam šta znači ova pesma.,zabava,0,0
1780,twitter,"Da vidikovac bez upotrebne dozvole i novi scenario nadstrešnice! I da, ako se ne varam ovo se drugi ili treći put otvara. Ali koga briga, narod zaboravi pa da ponovimo.",politika,-1,1
1665,youtube,ja sam samo spot gledao,muzika,0,1
1415,youtube,racuni sigurno nisu toliko visoki,muzika,-1,1
565,youtube,Ovo nisam mogao ni da sanjam,zabava,1,1
563,youtube,Stariji ljudi igraju wow,zabava,1,1
313,youtube,Ovo zbog sergeja necu gledati,filmovi,-1,0
