id,source,text,topic,sentiment,sarcasm
tw-00033,twitter,"Svaki put kad opozicija pukne na terenu, N1 izvuče neko sumnjivo 'istraživanje' da ih malo uteši. Smešna i jeftina propaganda!",politika,-1,1
tw-00034,twitter,Sram vas bilo kako izmisljate!,politika,-1,0
tw-00035,twitter,Niko normalan u ovo neće poverovati. Dosta je bilo laži.,politika,-1,0
tw-00039,twitter,"Hahahaha, evo ga - mir i stabilnost.",politika,-1,1
tw-00044,twitter,Da ali od njih 50% ne izlazi da glasa i to je poraz svih nas i njihova pobeda.,politika,-1,0
tw-00047,twitter,"Koja većina? Od 1000 ispitanih to je 500 +1, a gde su ostali milioni gradjana?",politika,-1,0
tw-00049,twitter,"Ne ide nikud, tu je gde je.",politika,0,0
tw-00051,twitter,Opet neko lazno istrazivanje.,politika,-1,0
tw-00052,twitter,A koje i čije istraživanje? Laž!,politika,-1,0
tw-00053,twitter,"Možda da se ljudi parkiraju na sam vidikovac, da mogu iz kola da gledaju Zapadnu Moravu?",politika,-1,1
tw-00055,twitter,"Ma tako je kolima direkt na vidikovac, što bi neko pešačio.",politika,-1,1
tw-00056,twitter,Namerno ostavljeno neurađeno da bi on rešio na licu mesta...kao spontano! Pa to isto radi gde god ode već 14 godina...zove telefonom i rešava odma!,politika,-1,0
tw-00057,twitter,"Naspite zemlju ovde malo niže kod našeg auta, donesite kamen i to je to. Sunce ti bogovo!!",politika,-1,1
tw-00059,twitter,Klisnuo je sa onog staklarijuma glavom bez obzira! Treba proveriti da li je promenio pelene.,politika,-1,1
tw-00063,twitter,"Da vidikovac bez upotrebne dozvole i novi scenario nadstrešnice! I da, ako se ne varam ovo se drugi ili treći put otvara. Ali koga briga, narod zaboravi pa da ponovimo.",politika,-1,1
tw-00065,twitter,"Samo još taj put nije renoviran........... i nadstrešnica , zašto ?",politika,-1,1
tw-00068,twitter,"Pa stvarno Milune,Ana zašto maltretirate čoveka",politika,1,1
tw-00070,twitter,"O, pa Drobnjak živ , on ko Rolling Stonesi",politika,1,1
tw-00071,twitter,"U pravu je, da sačuvaš prirodu ostaviš kola i autobuse u dolini i žičarom na vidikovac.",politika,1,1
tw-00072,twitter,Iskompleksirani prostak.,politika,-1,0
tw-00074,twitter,Građevinski inženjer dame i gospodo...,politika,-1,1
tw-00075,twitter,Nemojte da me maltretirate sa ocuvanjem prirode,politika,1,1
tw-00076,twitter,"Koja budalastina, neverovatno...",politika,-1,0
tw-00077,twitter,"Naš KLOŠarkaški trener, sportista ceo život",politika,-1,1
tw-00079,twitter,Fali mu doktor.,politika,-1,1
tw-00081,twitter,Zemljo otvori se,politika,-1,1
tw-00082,twitter,Predstava za nepismene,politika,-1,0
tw-00085,twitter,Još malo ugradjivanja,politika,-1,1
tw-00086,twitter,Xaxaxa vidikovac bez prilaza kakvi graditelji,politika,-1,1
tw-00087,twitter,Лечи се човече мани се твитера,sport,-1,0
tw-00088,twitter,Samo napred!!!!,sport,1,0
tw-00089,twitter,Do pobede!!,sport,1,0
tw-00090,twitter,"Navijamo za Srpsku, navijamo za borce, samo napred !",sport,1,0
tw-00092,twitter,Srbija je uz našu braću!,sport,1,0
tw-00093,twitter,"Naravno ali ovaj lik je car,pozdrzavamo",sport,1,0
tw-00094,twitter,Pobedili ste. Kao i u svemu i protiv svih. Vi ste najveći svetski pobednici koji NIKADA NIKOG NISU POBEDILI.,sport,-1,1
tw-00095,twitter,Ti nisi crko?,sport,-1,1
tw-00096,twitter,Ne brini ti za Banjalucane!,sport,-1,1
tw-00097,twitter,"Srecno orlovi uz vas su nasi HULIGANI na celu sa sinom Danilom i njegovim obezbedjenjem KOBRI. Sad neka gleda cela Srbija, kad moze sin danilo moze svako dete a da ne bude kaznjeno, ZNAS TI KO SAM JA, a onda neka tata kaze PA STA. [URL]",sport,-1,1
tw-00098,twitter,Bak'suzu jedan.,sport,-1,1
tw-00099,twitter,Pu maleru,sport,-1,0
tw-00101,twitter,"Hešteguješ samog sebe!? Imate li vi u toj vašoj sekti nekog ko NIJE narcisoidan? Ahahahahahahahaha, koliko si ti bolestan čovek!",sport,-1,1
tw-00103,twitter,"Ajde ćato gledaj svoj posao,pusti ljude da se bave sportom",sport,-1,1
tw-00104,twitter,"Morate pred huliganima mirno da stojite svi do jednog. I sport ste opoganili, bagro sektaška. Pu!",sport,-1,1
tw-00105,twitter,"Genocidni marš za Rusiju, zločinačka nacijo",sport,-1,0
tw-00106,twitter,Srbija je uz vas!,sport,1,0
tw-00107,twitter,"Neka vam svaki meč donese uspeh i radost, jer vaša borbenost i duh su inspiracija za sve nas.",sport,1,0
tw-00108,twitter,"Cela Srbija stoji uz vas, podržavajući vašu hrabrost i posvećenost.",sport,1,0
tw-00109,twitter,Samo napred!,sport,1,0
tw-00115,twitter,"Ponosni smo na naše sportere, srećno!",sport,1,0
tw-00116,twitter,"Upravo zbog toga ce sl.nedelje kuci, vi bi bre i nakovanj izbaksuzirali",sport,-1,1
tw-00119,twitter,"Usklini živela Srbija, šef ti sve prati, mogao bi na rotaciju s gospodinom Anom Brnabić...",sport,-1,1
tw-00124,twitter,Da li si i ti uplatio tiket na Engleze⁉,sport,1,1
tw-00125,twitter,"Srećno, momčine! Da li će vas kupiti neko? Vodu da kupi može svako, ali reku ne može lako da odnese!",sport,1,1
tw-00126,twitter,Ovo nemoj da zaboravis! Neke nove generacije koje ce vas pregaziti.,sport,-1,0
tw-00127,twitter,"Ono kad izađeš na ispit a nisi naučio, pa pumpaš jakim rečima",fakultet,1,1
tw-00128,twitter,Da bi položili ispit moraju da donesu uplatnicu kojа dokazujе da su kupili knjige.Nije znanje jedini dokaz da si učio.,fakultet,-1,1
tw-00129,twitter,Ko hoce neka cestita,fakultet,1,1
tw-00130,twitter,"Откуд идеја да је неопходно завршити факултет, да би човек био срећан",fakultet,1,1
tw-00131,twitter,Studirao ulicni fakultet,fakultet,-1,1
tw-00132,twitter,"""Студенти блокирали Филозофски факултет"" - jel to simbolično kao: nemojte ljudi na ovaj fakultet, nema svrhe.",fakultet,-1,1
tw-00133,twitter,Учинимо га познатим јер је у приложеном тексту изнет тек мали део спорних ситуација које се везују за њега и његове сараднике.,politika,-1,1
tw-00134,twitter,"Људииии остварила ми се највећа жељаааа!!!! Примљена сам на еминентни факултет у Чачку, одсјек онесвешћивање по еминентним локалима и наркоманија",fakultet,-1,1
tw-00135,twitter,Nova vest - Saša Popović otvara Fakultet za estradu? Jedva cekam kolokvijum iz hitova Bore Drljace,fakultet,1,1
tw-00136,twitter,"Посао марионетске власти Србије је да све срозава, да чини расипничке и губиташке потезе, да шири резигнацију и безнађе.",politika,-1,1
tw-00137,twitter,Hvala što ovakvom zlu poklanjate nacionalna dobra.,politika,-1,1
tw-00138,twitter,Završio fakultet za pet dana!,fakultet,-1,1
tw-00139,twitter,Kad je lopov priznao da je lopov?,politika,-1,1
tw-00140,twitter,Трагедија једног народа и нације.,politika,-1,0
tw-00141,twitter,Bravo stvarno ste opet uspeli da ubedite narod da zivi bolje nego ikad,politika,-1,1
tw-00142,twitter,Svaka cast na transparentnosti niko vise nista ne moze da pronadje,politika,-1,1
tw-00143,twitter,Bas lepo jos jedno obecanje koje ce sigurno biti ispunjeno,politika,-1,1
tw-00144,twitter,Fenomenalno vodjenje drzave vidi se po redovima ispred saltera,politika,-1,1
tw-00145,twitter,Naravno da je sve pod kontrolom cim svi kukaju,politika,-1,1
tw-00146,twitter,Odlicno rade posao samo sto rezultate niko ne vidi,politika,-1,1
tw-00147,twitter,"Jos jedna istorijska pobeda, izgleda ih imamo svake nedelje",politika,-1,1
tw-00148,twitter,Bas su mislili na gradjane kada su ovo doneli,politika,-1,1
tw-00149,twitter,Vrhunska organizacija sednica traje satima a nista se ne odluci,politika,-1,1
tw-00150,twitter,Sjajno stvarno nam je falilo jos jedno poskupljenje,politika,-1,1
tw-00151,twitter,Bravo za reforme sada je jos komplikovanije nego ranije,politika,-1,1
tw-00152,twitter,Ma sve funkcionise savrseno samo sto niko nije zadovoljan,politika,-1,1
tw-00153,twitter,Kakav napredak sad cekamo samo duplo duze,politika,-1,1
tw-00154,twitter,Odlicna komunikacija sa gradjanima niko nista ne zna,politika,-1,1
tw-00155,twitter,Bas odgovorna politika vidi se po svakom racunu,politika,-1,1
tw-00156,twitter,Svaka cast uspeli ste da posvadjate i one koji se slazu,politika,-1,1
tw-00157,twitter,Genijalna ideja jos jedna komisija da resava ono sto niko ne resava,politika,-1,1
tw-00158,twitter,"Naravno da narod preteruje, sve je idealno",politika,-1,1
tw-00159,twitter,Odlican plan samo steta sto ne radi,politika,-1,1
tw-00160,twitter,Bravo lideri bas ulivate poverenje,politika,-1,1
tw-00161,twitter,Divno je ziveti od obecanja,politika,-1,1
tw-00162,twitter,Bas se vidi koliko slusate gradjane,politika,-1,1
tw-00163,twitter,Sjajno resenje jos jedan papir vise,politika,-1,1
tw-00164,twitter,Fenomenalna ekonomija plate rastu samo u govorima,politika,-1,1
tw-00165,twitter,Svaka cast na borbi protiv korupcije bas je neprimetna,politika,-1,1
tw-00166,twitter,Odlicno ste objasnili sada je jos manje jasno,politika,-1,1
tw-00167,twitter,Bravo bas ste pogodili sta ljudima treba,politika,-1,1
tw-00168,twitter,Kakva efikasnost mesec dana za jedan papir,politika,-1,1
tw-00169,twitter,Ma nema problema narod samo izmislja,politika,-1,1
tw-00170,twitter,Savrseno vreme za jos jedno veliko obecanje,politika,-1,1
tw-00171,twitter,"Taman da vam nesmetano na beli račun ležu crne pare iz inostranstva, za rušenje sosptvene države.",politika,-1,1
tw-00172,twitter,"Znači nema promene za narod, samo za studente. Super.  Snašli ste se, baš vas briga. ",politika,-1,1
tw-00177,twitter,"Ma, nek je sve istina, a nije...samo da vam vidimo leđa.",politika,-1,1
tw-00182,twitter,"Uh, ima toga još...",politika,1,1
tw-00185,twitter,"Дела нашег храброг председника, има још пуно, али овде где продаје целу земљу се показао као највећи међу нама",politika,-1,1
tw-00186,twitter,i sada su ministri ti zuti,politika,-1,1
tw-00187,twitter,"Продали и раскићили, сад им крива ова власт.",politika,-1,1
tw-00190,twitter,"Teška vremena,kad mora i danas da se botuje.",politika,-1,1
tw-00191,twitter,Шта се дереш магарче,politika,-1,1
tw-00192,twitter,"Andrej LK, Snajper i Boske se bolje snalaze s reketom. Jel' i njih bodriš",politika,-1,1
tw-00194,twitter,Medalju dobi al dušu izgubi u Srbiji.,politika,-1,1
tw-00196,twitter,Vučević i sport kao Pericina baba i roleri.,politika,1,1
tw-00198,twitter,Bravo nole na osvojenoj medalji,tenis,1,0
tw-00203,twitter,Mars baksuze... gde si nasao sad da se javis pred finale da izmalerises,politika,-1,1
tw-00208,twitter,"Лоша вест је да сте уништили српске привреднике, како бисте довели Немце да нас уче свињогојству.",politika,-1,1
tw-00210,twitter,Sta je ovde dobro? Jel mozda to sto ce stranac da unisti domacu proizvodnju i iskoristi izvoz u Rusiju!,politika,-1,1
tw-00213,twitter,"cekaj bre, a gde su vam Arapi sad? Ne spominju se nesto..",politika,-1,1
tw-00217,twitter,I još ste saučesnici vašem neprijatelju ? ,politika,-1,1
tw-00220,twitter,gospodine nisam bas siguran koliko ce srpski seljak biti srcan zbog dolaska tenisa,politika,-1,1
tw-00227,twitter,"Odlicna, svi seljaci ce raditi za jednog Svabu!!!",politika,-1,1
tw-00229,twitter,"Да, довели су ратног злочинца и трговца органима на власт.",politika,-1,1
tw-00230,twitter,"Ако су рекли ваши властодавци и повериоци, онда је то сигурно тако. Српски народ то најбоље осећа на својој кожи.",politika,-1,1
tw-00231,twitter,Зато што немају хлеба да једу.,politika,-1,0
tw-00232,twitter,Само немојте ви ништа боље да смишљате. Ово фалсификовање и обмањивање вам одлично иде. Ту сте прави мастери.,politika,-1,1
tw-00233,twitter,"И немојте да нам СНС- странка купаца диплома, прича о учењу. Гротескно је.",politika,-1,1
tw-00239,twitter,"Da, ko nece, brata za brata, dobit ce dusmanina za gospodara!!!",politika,-1,1
tw-00242,twitter,"Nekome je dozvoljeno da radi i pomogne privredi, nekome nije zbog korupcije u opstinama... iz iskustva.",politika,-1,1
tw-00246,twitter,"Ako mene pitaš, ne brini za mene. Pobrini se za sebe dok je vreme.",politika,-1,1
tw-00248,twitter,i potruje nas mesom GMO hranom tovljenih životinja?!,hrana,-1,1
